datetime,created_at,updated_at,timestamp,zone_name,carbon_intensity_avg,power_origin_percent_fossil_avg,power_origin_percent_renewable_avg,power_production_percent_fossil_avg,power_production_percent_renewable_avg
2021-01-01T00:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2023-01-12T00:23:20.739679+00:00,1609459200,DE,541.69,50.66,28.95,53.28,26.18
2021-01-01T01:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:15:13.178380+00:00,1609462800,DE,548.44,51.08,28.29,53.9,25.38
2021-01-01T02:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2023-01-12T00:23:16.918659+00:00,1609466400,DE,558.79,52,27.05,54.93,24.15
2021-01-01T03:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2023-01-12T00:23:43.689021+00:00,1609470000,DE,559.12,51.98,26.37,55.21,23.57
2021-01-01T04:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2023-01-12T00:23:20.739679+00:00,1609473600,DE,570.51,53.02,25.85,55.96,22.91
2021-01-01T05:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:15:13.178380+00:00,1609477200,DE,578,53.7,25.38,56.59,22.52
2021-01-01T06:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2023-01-12T00:15:13.178380+00:00,1609480800,DE,573.9,53.5,25.27,56.39,22.42
2021-01-01T07:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2023-01-12T00:15:13.178380+00:00,1609484400,DE,572.28,53.69,25.38,56.49,22.75
2021-01-01T08:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2023-01-12T00:23:22.177313+00:00,1609488000,DE,556.81,52.63,27.12,55.17,24.75
2021-01-01T09:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:23:16.918659+00:00,1609491600,DE,533.5,50.79,29.61,52.88,27.76
2021-01-01T10:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2023-01-12T00:15:13.178380+00:00,1609495200,DE,519.59,49.95,30.96,51.86,29.37
2021-01-01T11:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2023-01-12T00:23:16.918659+00:00,1609498800,DE,513.24,49.52,31.67,51.36,30.13
2021-01-01T12:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:23:43.689021+00:00,1609502400,DE,518.73,50.14,30.79,52.08,29.1
2021-01-01T13:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2023-01-12T00:15:13.178380+00:00,1609506000,DE,533.88,51.83,28.58,53.97,26.58
2021-01-01T14:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2023-01-12T00:23:20.739679+00:00,1609509600,DE,550.22,53.8,25.62,56.79,23.37
2021-01-01T15:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2023-01-12T00:23:16.918659+00:00,1609513200,DE,549.15,53.38,26.05,56.64,24.14
2021-01-01T16:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2023-01-12T00:23:20.739679+00:00,1609516800,DE,549.22,51.87,29.59,54.02,28.08
2021-01-01T17:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2023-01-12T00:23:43.689021+00:00,1609520400,DE,546.32,51.27,31.05,52.83,29.68
2021-01-01T18:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2023-02-10T02:39:04.634021+00:00,1609524000,DE,544.57,50.94,31.69,52.36,30.35
2021-01-01T19:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2023-02-17T21:50:25.280475+00:00,1609527600,DE,543.87,52.49,29.38,54.3,27.56
2021-01-01T20:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2023-02-17T21:50:50.371618+00:00,1609531200,DE,536.21,52.17,29.42,54.07,27.54
2021-01-01T21:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2023-02-17T21:50:49.098764+00:00,1609534800,DE,526.79,51.01,30.64,52.9,28.71
2021-01-01T22:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2023-02-17T21:50:49.098764+00:00,1609538400,DE,524.56,50.79,29.93,52.85,27.82
2021-01-01T23:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:23:20.739679+00:00,1609542000,DE,527.52,50.18,29.75,52.3,27.89
2021-01-02T00:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:23:43.689021+00:00,1609545600,DE,526.68,49.85,29.66,52.1,27.73
